Date,Open,High,Low,Close,Volume
01/02/2015,2655,2655,2630,2645,29302500
01/05/2015,2630,2640,2625,2640,25434500
01/06/2015,2600,2640,2600,2620,48681499
01/07/2015,2610,2640,2610,2625,40333999
01/08/2015,2625,2630,2595,2595,54456999
01/09/2015,2605,2615,2585,2585,108957498
01/12/2015,2585,2600,2560,2600,81650999
01/13/2015,2610,2610,2595,2600,36023999
01/14/2015,2605,2605,2585,2585,29728000
01/15/2015,2605,2610,2590,2590,27580500
01/16/2015,2605,2605,2590,2590,46354499
01/19/2015,2595,2605,2595,2600,26134500
01/20/2015,2595,2610,2585,2605,36285499
01/21/2015,2610,2640,2605,2615,73257999
01/22/2015,2610,2645,2610,2640,58653999
01/23/2015,2645,2680,2645,2665,121010993
01/26/2015,2665,2680,2605,2630,103089003
01/27/2015,2630,2645,2625,2640,49988499
01/28/2015,2635,2665,2630,2655,48229999
01/29/2015,2650,2665,2640,2665,41599499
01/30/2015,2680,2685,2665,2675,94142499
02/02/2015,2670,2675,2650,2670,38816499
02/03/2015,2675,2700,2670,2700,67046499
02/04/2015,2705,2800,2695,2780,136305993
02/05/2015,2780,2785,2675,2740,83923494
02/06/2015,2755,2760,2730,2740,54060499
02/09/2015,2700,2780,2700,2760,68608999
02/10/2015,2775,2780,2730,2750,50540499
02/11/2015,2755,2785,2740,2785,46471499
02/12/2015,2785,2790,2770,2780,58455499
02/13/2015,2800,2850,2795,2805,90653494
02/16/2015,2810,2835,2800,2800,30501000
02/17/2015,2800,2825,2800,2815,47944999
02/18/2015,2840,2910,2800,2815,57781999
02/20/2015,2860,2865,2810,2810,25162000
02/23/2015,2815,2845,2795,2805,55871499
02/24/2015,2810,2815,2785,2810,46481999
02/25/2015,2800,2835,2800,2820,39572999
02/26/2015,2795,2835,2795,2815,63400499
02/27/2015,2800,2830,2800,2820,91257499
03/02/2015,2830,2860,2820,2845,105783493
03/03/2015,2870,2915,2865,2880,100165993
03/04/2015,2900,2915,2875,2885,61321499
03/05/2015,2895,2930,2895,2900,63347499
03/06/2015,2900,2935,2900,2920,84721999
03/09/2015,2880,2895,2820,2875,75820999
03/10/2015,2880,2905,2850,2885,56405499
03/11/2015,2850,2875,2845,2855,86270499
03/12/2015,2845,2855,2830,2840,57496499
03/13/2015,2840,2855,2810,2820,79901499
03/16/2015,2805,2865,2805,2830,60353499
03/17/2015,2855,2860,2820,2820,50729499
03/18/2015,2820,2850,2820,2845,52346499
03/19/2015,2860,2870,2835,2850,58573499
03/20/2015,2835,2895,2835,2865,104342998
03/23/2015,2880,2910,2880,2890,44297499
03/24/2015,2910,2935,2900,2910,64995999
03/25/2015,2910,2950,2900,2925,36810999
03/26/2015,2900,2945,2895,2905,71972499
03/27/2015,2895,2905,2875,2890,69992999
03/30/2015,2890,2930,2890,2900,50985499
03/31/2015,2960,2965,2935,2965,85597999
04/01/2015,2975,2985,2955,2965,42093499
04/02/2015,2985,2985,2945,2960,42423999
04/06/2015,2960,3090,2955,3035,71232499
