"Date,""Close"",""Open"",""High"",""Low"",""Volume"",""Change in Percentage"""
"29/07/2022,""520,20"",""521,34"",""528,77"",""520,20"",""2,76B"",""-0,22%"""
"28/07/2022,""521,32"",""518,18"",""524,84"",""518,18"",""4,04B"",""0,61%"""
"27/07/2022,""518,18"",""514,98"",""519,05"",""513,77"",""2,59B"",""0,63%"""
"26/07/2022,""514,95"",""514,29"",""517,82"",""514,02"",""2,00B"",""0,13%"""
"25/07/2022,""514,29"",""518,04"",""520,25"",""514,29"",""1,60B"",""-0,73%"""
"22/07/2022,""518,07"",""516,74"",""519,16"",""514,90"",""2,39B"",""0,26%"""
"21/07/2022,""516,74"",""518,29"",""519,77"",""510,95"",""1,93B"",""-0,30%"""
"20/07/2022,""518,29"",""504,48"",""518,84"",""504,39"",""3,52B"",""2,74%"""
"19/07/2022,""504,45"",""499,76"",""505,70"",""494,87"",""3,12B"",""0,93%"""
"18/07/2022,""499,78"",""499,11"",""503,65"",""494,15"",""2,38B"",""0,15%"""
"15/07/2022,""499,04"",""504,38"",""506,38"",""498,49"",""2,40B"",""-1,06%"""
"14/07/2022,""504,38"",""497,49"",""505,57"",""494,98"",""2,28B"",""1,39%"""
"13/07/2022,""497,49"",""505,23"",""505,86"",""496,85"",""2,46B"",""-1,53%"""
"12/07/2022,""505,20"",""507,53"",""508,61"",""505,18"",""2,03B"",""-0,46%"""
"11/07/2022,""507,53"",""511,53"",""513,73"",""504,34"",""1,74B"",""-0,78%"""
"08/07/2022,""511,51"",""504,12"",""511,85"",""504,12"",""2,85B"",""1,47%"""
"07/07/2022,""504,08"",""503,43"",""507,40"",""501,97"",""2,37B"",""0,14%"""
"06/07/2022,""503,36"",""509,36"",""510,17"",""499,45"",""2,69B"",""-1,18%"""
"05/07/2022,""509,39"",""506,36"",""516,53"",""505,67"",""3,01B"",""0,60%"""
"04/07/2022,""506,36"",""519,41"",""519,66"",""499,41"",""2,51B"",""-2,52%"""
"01/07/2022,""519,46"",""529,19"",""532,20"",""516,88"",""2,58B"",""-1,84%"""
"30/06/2022,""529,22"",""531,20"",""535,65"",""528,51"",""3,05B"",""-0,37%"""
