ds,yhat1
2020-03-31,
2020-04-01,5267.201
2020-04-02,5217.79
2020-04-03,5151.581
2020-04-04,5230.444
2020-04-05,5305.909
2020-04-06,5379.5034
2020-04-07,5465.592
2020-04-08,5393.195
2020-04-09,5361.743
2020-04-10,5318.464
2020-04-11,5291.7075
2020-04-12,5267.1055
2020-04-13,5241.856
2020-04-14,5230.277
2020-04-15,5246.603
2020-04-16,5206.8047
2020-04-17,4973.681
2020-04-18,5143.4004
2020-04-19,5120.7407
2020-04-20,5097.2256
2020-04-21,5086.842
2020-04-22,4990.8364
2020-04-23,4964.631
2020-04-24,4935.9097
2020-04-25,4742.541
2020-04-26,4753.903
2020-04-27,4764.553
2020-04-28,4788.9717
2020-04-29,4669.299
2020-04-30,4677.981
2020-05-01,4979.058
2020-05-02,4990.128
2020-05-03,5003.7686
2020-05-04,5016.669
2020-05-05,5042.9795
2020-05-06,5110.3545
2020-05-07,5167.6963
2020-05-08,5112.988
2020-05-09,5059.3486
2020-05-10,5074.9956
2020-05-11,5089.496
2020-05-12,5116.791
2020-05-13,5048.2827
2020-05-14,4932.179
2020-05-15,4747.3037
2020-05-16,4616.6206
2020-05-17,4610.302
2020-05-18,4603.7446
2020-05-19,4611.295
2020-05-20,4536.612
2020-05-21,4609.327
2020-05-22,4641.2407
2020-05-23,4674.789
2020-05-24,4710.3276
2020-05-25,4744.5864
2020-05-26,4791.6865
2020-05-27,4829.4873
2020-05-28,4814.8257
2020-05-29,5124.299
2020-05-30,5021.7803
2020-05-31,5060.592
2020-06-01,5098.1787
2020-06-02,5148.281
2020-06-03,5190.6953
2020-06-04,5577.028
2020-06-05,5581.782
2020-06-06,5517.538
2020-06-07,5572.812
2020-06-08,5627.971
2020-06-09,5696.5977
2020-06-10,5611.632
2020-06-11,5597.2686
2020-06-12,5480.8105
2020-06-13,5469.747
2020-06-14,5415.687
2020-06-15,5360.036
2020-06-16,5316.866
2020-06-17,5565.242
2020-06-18,5513.552
2020-06-19,5378.769
2020-06-20,5363.825
2020-06-21,5349.696
2020-06-22,5335.246
2020-06-23,5334.872
2020-06-24,5413.9053
2020-06-25,5484.272
2020-06-26,5501.208
2020-06-27,5425.5107
2020-06-28,5438.2515
2020-06-29,5450.6226
2020-06-30,5476.623
2020-07-01,5503.5386
2020-07-02,5596.377
2020-07-03,5662.543
2020-07-04,5662.9976
2020-07-05,5685.3296
2020-07-06,5705.9326
2020-07-07,5739.0996
2020-07-08,5794.6685
