ds,yhat1
2020-03-31,
2020-04-01,4996.3457
2020-04-02,4987.7817
2020-04-03,4970.3496
2020-04-04,5039.0586
2020-04-05,5104.0757
2020-04-06,5167.301
2020-04-07,5240.3105
2020-04-08,5214.598
2020-04-09,5208.756
2020-04-10,5195.9287
2020-04-11,5187.168
2020-04-12,5178.099
2020-04-13,5168.6826
2020-04-14,5170.6567
2020-04-15,5192.9634
2020-04-16,5174.9873
2020-04-17,5036.2197
2020-04-18,5146.531
2020-04-19,5133.9434
2020-04-20,5120.739
2020-04-21,5118.038
2020-04-22,5063.1006
2020-04-23,5046.548
2020-04-24,5029.0396
2020-04-25,4900.804
2020-04-26,4900.419
2020-04-27,4899.5635
2020-04-28,4910.127
2020-04-29,4832.591
2020-04-30,4831.902
2020-05-01,5018.768
2020-05-02,5017.6157
2020-05-03,5018.456
2020-05-04,5020.68
2020-05-05,5035.592
2020-05-06,5080.5117
2020-05-07,5115.229
2020-05-08,5081.484
2020-05-09,5043.059
2020-05-10,5048.0044
2020-05-11,5052.498
2020-05-12,5068.083
2020-05-13,5025.7983
2020-05-14,4948.591
2020-05-15,4829.8755
2020-05-16,4740.1626
2020-05-17,4729.2046
2020-05-18,4719.691
2020-05-19,4723.598
2020-05-20,4679.8667
2020-05-21,4726.611
2020-05-22,4750.995
2020-05-23,4772.7183
2020-05-24,4796.45
2020-05-25,4821.2515
2020-05-26,4858.1875
2020-05-27,4892.8096
2020-05-28,4889.782
2020-05-29,5093.607
2020-05-30,5030.958
2020-05-31,5056.606
2020-06-01,5081.562
2020-06-02,5117.0825
2020-06-03,5150.314
2020-06-04,5396.498
2020-06-05,5403.273
2020-06-06,5361.163
2020-06-07,5394.62
2020-06-08,5429.063
2020-06-09,5475.912
2020-06-10,5428.861
2020-06-11,5422.322
2020-06-12,5352.8813
2020-06-13,5344.3496
2020-06-14,5307.3057
2020-06-15,5269.044
2020-06-16,5240.626
2020-06-17,5398.2
2020-06-18,5360.3403
2020-06-19,5270.306
2020-06-20,5249.919
2020-06-21,5228.7954
2020-06-22,5207.994
2020-06-23,5199.5796
2020-06-24,5245.234
2020-06-25,5282.0273
2020-06-26,5288.2593
2020-06-27,5232.3384
2020-06-28,5233.3486
2020-06-29,5236.5366
2020-06-30,5252.923
2020-07-01,5463.858
2020-07-02,5522.986
